mbtcp.trans_id_raw,mbtcp.prot_id_raw,mbtcp.len_raw,mbtcp.unit_id_raw,modbus.func_code_raw,modbus.byte_cnt_raw,modbus.regval_uint16_raw
0009,0000,0005,01,4,02,1393
000a,0000,0005,01,4,02,1393
000e,0000,0005,01,4,02,1393
0000,0000,0005,01,4,02,1393
0001,0000,0005,01,4,02,1393
0002,0000,0005,01,4,02,1393
0003,0000,0005,01,4,02,1393
0006,0000,0005,01,4,02,1393
0009,0000,0005,01,4,02,1393
000a,0000,0005,01,4,02,1393
000e,0000,0005,01,4,02,1393
0001,0000,0005,01,4,02,1393
0002,0000,0005,01,4,02,1393
0005,0000,0005,01,4,02,1393
0006,0000,0005,01,4,02,1393
0009,0000,0005,01,4,02,1393
000a,0000,0005,01,4,02,1393
000d,0000,0005,01,4,02,1393
000e,0000,0005,01,4,02,1393
0001,0000,0005,01,4,02,1393
0002,0000,0005,01,4,02,1393
0005,0000,0005,01,4,02,1393
0006,0000,0005,01,4,02,1393
0009,0000,0005,01,4,02,1393
000a,0000,0005,01,4,02,1393
0001,0000,0005,01,4,02,0001
0002,0000,0005,01,4,02,0001
0006,0000,0005,01,4,02,0001
0008,0000,0005,01,4,02,0001
0009,0000,0005,01,4,02,0001
000a,0000,0005,01,4,02,0001
000b,0000,0005,01,4,02,0001
000e,0000,0005,01,4,02,0001
0001,0000,0005,01,4,02,0001
0002,0000,0005,01,4,02,0001
0006,0000,0005,01,4,02,0001
0009,0000,0005,01,4,02,0001
000a,0000,0005,01,4,02,0001
000d,0000,0005,01,4,02,0001
000e,0000,0005,01,4,02,0001
0001,0000,0005,01,4,02,0001
0002,0000,0005,01,4,02,0001
0005,0000,0005,01,4,02,0001
0006,0000,0005,01,4,02,0001
0009,0000,0005,01,4,02,0001
000a,0000,0005,01,4,02,0001
000d,0000,0005,01,4,02,0001
000e,0000,0005,01,4,02,0001
0001,0000,0005,01,4,02,0001
0002,0000,0005,01,4,02,0001
0009,0000,0005,01,4,02,0007
000a,0000,0005,01,4,02,0007
000e,0000,0005,01,4,02,0007
0000,0000,0005,01,4,02,0007
0001,0000,0005,01,4,02,0007
0002,0000,0005,01,4,02,0007
0003,0000,0005,01,4,02,0007
0006,0000,0005,01,4,02,0007
0009,0000,0005,01,4,02,0007
000a,0000,0005,01,4,02,0007
000e,0000,0005,01,4,02,0007
0001,0000,0005,01,4,02,0007
0002,0000,0005,01,4,02,0007
0005,0000,0005,01,4,02,0007
0006,0000,0005,01,4,02,0007
0009,0000,0005,01,4,02,0007
000a,0000,0005,01,4,02,0007
000d,0000,0005,01,4,02,0007
000e,0000,0005,01,4,02,0007
0001,0000,0005,01,4,02,0007
0002,0000,0005,01,4,02,0007
0005,0000,0005,01,4,02,0007
0006,0000,0005,01,4,02,0007
0009,0000,0005,01,4,02,0007
000a,0000,0005,01,4,02,0007
